date,US_holiday,GB_holiday,CA_holiday,AU_holiday,UA_holiday,RU_holiday,FR_holiday,DE_holiday,BR_holiday,CN_holiday,JP_holiday,PK_holiday,KP_holiday,KR_holiday,IN_holiday,TW_holiday,NL_holiday,ES_holiday,SE_holiday,MX_holiday,IR_holiday,IL_holiday,SA_holiday,SY_holiday,FI_holiday,IE_holiday,AT_holiday,NO_holiday,CH_holiday,IT_holiday,MY_holiday,EG_holiday,TR_holiday,PT_holiday,PS_holiday,AE_holiday,Holidays
Apr-20,0,2,2,3,1,0,1,2,3,1,1,0,0,1,0,1,4,2,6,0,0,10,0,0,3,1,1,4,3,3,0,3,1,3,0,0,62
May-20,1,2,1,0,2,2,3,2,1,1,4,0,0,2,1,0,3,1,7,1,0,3,5,0,3,1,2,4,2,1,6,4,5,1,0,3,74
Jun-20,0,0,0,0,2,1,1,1,1,1,0,0,0,1,0,1,1,0,7,0,0,0,0,0,2,1,2,1,1,1,1,1,0,2,0,0,29
Jul-20,2,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,1,3,2,0,0,2,21
Aug-20,0,2,1,0,1,0,1,0,0,0,1,0,0,2,1,0,0,1,5,0,0,0,4,0,0,1,1,0,1,1,2,3,4,1,0,3,36
Sep-20,1,0,1,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,4,1,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,18
Oct-20,1,0,1,0,1,0,0,1,1,3,0,0,0,4,1,3,0,1,5,0,0,9,0,0,1,1,1,0,0,0,1,2,1,1,0,0,39
Nov-20,2,1,0,0,0,1,2,0,2,0,2,0,0,0,1,0,0,1,5,2,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,23
Dec-20,1,3,2,3,1,1,1,2,1,0,0,0,0,1,1,0,2,3,8,1,0,8,0,0,4,3,3,2,1,3,1,0,0,3,0,3,62
Jan-21,2,3,1,2,2,8,1,1,1,1,2,0,0,1,2,1,1,2,7,1,0,0,0,0,2,1,2,1,1,2,1,3,1,1,0,1,55
Feb-21,1,0,1,0,0,1,0,0,2,3,2,0,0,3,0,7,0,0,4,2,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,31
Mar-21,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,4,2,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18
Apr-21,0,2,2,3,0,0,1,2,3,1,1,0,0,0,0,1,4,2,6,1,0,8,0,0,3,1,1,4,3,3,1,1,1,3,0,0,58
May-21,1,2,1,0,3,2,4,3,1,1,3,0,0,3,1,0,3,1,7,1,0,2,6,0,3,1,3,5,3,1,4,6,5,1,0,3,80
Jun-21,2,0,0,0,2,1,0,0,1,1,0,0,0,1,0,1,0,0,6,0,0,0,0,0,2,1,1,0,0,1,1,1,0,2,0,0,24
Jul-21,2,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,1,5,5,0,0,4,30
